consumption,income
11.6683,12.6134
11.698,12.5894
11.7401,12.5699
11.7284,12.6274
11.7296,12.6723
11.8161,12.7415
11.8274,12.7424
11.8598,12.8055
11.8716,12.802
11.9026,12.8102
11.8939,12.797
11.9698,12.7961
