county,hhi,rural
Hamilton,52134,100.0
Lewis,48314,86.8
Chenango,45193,83.4
Schoharie,50244,82.8
Schuyler,48109,81.2
Allegany,45226,78.7
Delaware,45381,78.4
Essex,50506,74.9
Sullivan,49016,74.2
Columbia,57579,73.3
Greene,49860,73.1
Yates,48820,71.2
Otsego,50034,70.6
Washington,51052,67.9
Tioga,55643,65.7
Clinton,53392,64.2
Wyoming,56089,64.1
Franklin,49062,62.7
St. Lawrence,50897,62.0
