bank,total assets
Industrial & Commercial Bank of China (ICBC),3452
China Construction Bank Corp.,2819
Agricultural Bank of China,2716
HSBC Holdings,2670
JPMorgan Chase & Co.,2600
Bank of China,2584
BNP Paribas,2527
Mitsubishi UFJ Financial Group,2337
Credit Agricole Group,2144
Barclays PLC,2114
Bank of America,2105
Deutsche Bank,2078
"Citigroup, Inc.",1843
Japan Post Bank,1736
Wells Fargo,1687
,
