company,revenue
Walmart,343.62
The Kroger Co.,103.03
Costco,79.69
The Home Depot,74.2
Walgreen,72.67
Target,72.62
CVS Caremark,67.97
Lowe's Companies,54.81
Amazon. Com,49.38
