parameter   , estimator , standard deviation , t-value 
$b_0$       , $\bar Y - b_1 \bar X$  , $\sqrt{s_e^2\left[\frac{1}{N} + \frac{\bar X^2}{\sum_{i=1}^N (X_i - \bar X)^2}\right]}$ , $\frac{b_0}{s_{b0}}$
$b_1$       , $\frac{N\sum_{i=1}^N X_i Y_i - \left(\sum_{i=1}^N X_i\right) \left(\sum_{i=1}^N Y_i\right)}{N\sum_{i=1}^N X_i^2 - (\sum_{i=1}^N X_i)^2}$ , $\sqrt{\frac{s_e^2}{\sum_{i=1}^N (X_i - \bar X)^2}}$ , $\frac{b_1}{s_{b1}}$
