CITY,PER DIEM EXPENSE ($)
London,576
Mexico City,240
Tokyo,484
Bangalore,199
Bangkok,234
Riyadh,483
Lagos,506
Cape Town,230
Zurich,508
Paris,483
Guatemala City,213
,
